127.0.0.1 - - [18/Apr/2022:18:50:12 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:50:14 -0300] "GET /Farmacia/ HTTP/1.1" 200 5454
0:0:0:0:0:0:0:1 - - [18/Apr/2022:18:50:23 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 500 4354
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:04:36 -0300] "GET /Farmacia/ HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:04:40 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 17957
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:04:42 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:06:46 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:19 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:21 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:32 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 23570
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:36 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 17957
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:38 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 23565
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:39 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 17957
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:40 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:07:46 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:15:42 -0300] "GET /Farmacia/ HTTP/1.1" 200 5892
